STOREID,average daily demand,Distribution center
4170752,165,DC13
4170753,130,DC13
4170757,178,DC13
4170758,229,DC13
4170762,158,DC13
4170763,164,DC13
4170764,193,DC13
4170777,215,DC13
4170797,309,DC13
4170799,113,DC13
4170809,150,DC13
4170810,152,DC13
4170819,323,DC13
4170822,130,DC13
4170823,131,DC13
4170824,153,DC13
4170825,192,DC13
4170829,241,DC13
4170853,141,DC13
4170857,230,DC13
4170858,221,DC13
4170859,260,DC13
4170863,125,DC13
4170866,126,DC13
4170870,186,DC13
4170875,206,DC13
4170946,126,DC13
4170951,255,DC13
4170992,335,DC13
4170993,116,DC13
4170994,275,DC13
4170995,221,DC13
4170996,178,DC13
4170997,146,DC13
4170998,443,DC13
4170999,258,DC13
4171000,136,DC13
4171001,137,DC13
4171030,142,DC13
4171031,170,DC13
4171034,183,DC13
4171057,235,DC13
4171058,234,DC13
4171065,178,DC13
4171104,133,DC13
4171110,196,DC13
4171118,133,DC13
4171119,107,DC13
4171120,112,DC13
4171122,149,DC13
4171135,146,DC13
4171136,156,DC13
4171137,94,DC13
4171142,195,DC13
4171156,105,DC13
4171164,209,DC13
4171176,132,DC13
4171184,150,DC13
4166799,167,DC14
4166964,195,DC14
4167447,172,DC14
4167823,126,DC14
4168106,249,DC14
4168108,140,DC14
4168109,199,DC14
4168110,203,DC14
4168111,203,DC14
4168112,159,DC14
4168113,158,DC14
4168114,152,DC14
4168115,172,DC14
4168116,200,DC14
4168117,141,DC14
4168118,141,DC14
4168119,164,DC14
4168120,149,DC14
4168121,167,DC14
4168122,149,DC14
4168123,120,DC14
4168124,156,DC14
4168125,184,DC14
4168126,152,DC14
4168127,210,DC14
4168128,140,DC14
4168129,213,DC14
4168130,173,DC14
4168131,186,DC14
4168132,242,DC14
4168133,169,DC14
4168134,135,DC14
4168895,159,DC14
4168900,118,DC14
4168901,127,DC14
4168929,94,DC14
4168938,219,DC14
4168958,133,DC14
4168966,141,DC14
4168972,145,DC14
4168977,119,DC14
4168984,137,DC14
4168986,116,DC14
4168996,180,DC14
4169001,190,DC14
4169007,163,DC14
4169076,215,DC14
4169198,180,DC14
4169199,171,DC14
4169200,186,DC14
4169201,191,DC14
4169202,192,DC14
4169203,150,DC14
4169204,151,DC14
4169205,234,DC14
4169206,179,DC14
4169436,169,DC14
4169437,117,DC14
4169438,159,DC14
4169439,198,DC14
4169440,184,DC14
4169441,241,DC14
4169442,90,DC14
4169443,168,DC14
4169444,164,DC14
4170163,155,DC14
4170167,159,DC14
4170171,136,DC14
4170173,140,DC14
4170174,215,DC14
4170175,181,DC14
4170176,185,DC14
4170177,165,DC14
4170178,208,DC14
4170179,125,DC14
4170180,192,DC14
4170181,177,DC14
4170182,139,DC14
4170183,155,DC14
4170184,248,DC14
4170185,149,DC14
4170187,198,DC14
4170190,140,DC14
4170192,146,DC14
4170193,241,DC14
4170194,165,DC14
4170195,202,DC14
4170204,148,DC14
4170206,288,DC14
4170207,179,DC14
4170208,298,DC14
4170210,184,DC14
4170519,133,DC14
4170524,224,DC14
4170525,190,DC14
4170529,105,DC14
4170530,182,DC14
4171061,88,DC14
4171149,197,DC14
4171150,121,DC14
4171151,221,DC14
4171152,177,DC14
4171153,200,DC14
4171154,202,DC14
4171155,240,DC14
4171157,165,DC14
4171159,136,DC14
4171160,191,DC14
4171161,192,DC14
4171162,238,DC14
4171163,193,DC14
4171165,202,DC14
4171166,250,DC14
4171169,175,DC14
4171170,199,DC14
4171171,157,DC14
4171172,157,DC14
4171173,154,DC14
4171174,154,DC14
4171175,186,DC14
4171177,211,DC14
4171178,184,DC14
4171179,139,DC14
4171180,116,DC14
4171181,207,DC14
4171182,182,DC14
4171183,134,DC14
4171185,225,DC14
4171186,182,DC14
4171187,194,DC14
4171188,254,DC14
4171189,147,DC14
4171190,152,DC14
4171191,164,DC14
4171192,136,DC14
4171194,199,DC14
4171195,264,DC14
4171389,154,DC14
4171390,182,DC14
4171392,129,DC14
4171393,215,DC14
4171394,218,DC14
4171395,128,DC14
4171396,126,DC14
4171397,219,DC14
4171398,185,DC14
4171399,162,DC14
4171400,171,DC14
4171401,173,DC14
4171402,133,DC14
4171403,207,DC14
4171404,109,DC14
4171405,150,DC14
4171406,160,DC14
4171407,141,DC14
4171408,140,DC14
4171409,123,DC14
4171410,132,DC14
4171411,123,DC14
4171412,221,DC14
4171413,195,DC14
4171414,184,DC14
4171415,136,DC14
4171416,179,DC14
4171417,126,DC14
4171418,174,DC14
4171419,150,DC14
4171420,192,DC14
4171421,203,DC14
4171422,171,DC14
4171423,164,DC14
4171424,241,DC14
4171425,240,DC14
4171426,158,DC14
4171427,188,DC14
4171428,221,DC14
4171429,193,DC14
4171430,232,DC14
4171431,175,DC14
4171432,194,DC14
4171433,160,DC14
4171434,164,DC14
4171435,154,DC14
4171436,192,DC14
4171437,218,DC14
4171438,272,DC14
4171439,158,DC14
4171440,145,DC14
4171441,145,DC14
4171442,195,DC14
4171443,180,DC14
4171444,195,DC14
4171445,157,DC14
4171446,298,DC14
4171447,184,DC14
4171448,205,DC14
4171450,210,DC14
4171451,176,DC14
4171452,108,DC14
4171453,147,DC14
4171454,230,DC14
4171455,183,DC14
4171456,202,DC14
4171457,241,DC14
4171458,116,DC14
4171459,181,DC14
4171460,182,DC14
4171461,145,DC14
4171462,145,DC14
4171463,218,DC14
4171464,203,DC14
4171465,196,DC14
4171466,163,DC14
4171467,163,DC14
4171468,170,DC14
4171469,123,DC14
4171470,163,DC14
4171471,166,DC14
4171472,108,DC14
4171473,108,DC14
4171477,196,DC14
4171478,188,DC14
4171479,112,DC14
4171480,97,DC14
4171481,224,DC14
4171482,147,DC14
4171483,91,DC14
4171484,172,DC14
4171485,168,DC14
4171486,183,DC14
4171487,179,DC14
4171488,227,DC14
4171489,242,DC14
4171490,217,DC14
4171491,131,DC14
4171492,164,DC14
4171493,132,DC14
4171494,192,DC14
4171495,216,DC14
4171496,156,DC14
4171497,134,DC14
4171500,172,DC14
4171501,188,DC14
4171502,163,DC14
4171637,164,DC14
4171638,175,DC14
4171639,148,DC14
4171640,125,DC14
4171642,128,DC14
4171644,128,DC14
4171645,117,DC14
4171646,116,DC14
4171647,135,DC14
4171650,174,DC14
4171651,168,DC14
4166899,213,DC15
4166901,169,DC15
4166902,157,DC15
4166903,259,DC15
4166908,228,DC15
4166909,151,DC15
4166910,247,DC15
4166912,176,DC15
4166913,153,DC15
4166917,246,DC15
4166918,209,DC15
4166919,192,DC15
4166920,180,DC15
4166921,168,DC15
4166922,168,DC15
4166924,181,DC15
4166925,254,DC15
4166926,297,DC15
4166928,307,DC15
4166932,217,DC15
4166933,305,DC15
4166934,177,DC15
4166935,245,DC15
4166939,201,DC15
4166941,222,DC15
4166944,198,DC15
4166945,181,DC15
4166946,140,DC15
4166947,234,DC15
4166948,156,DC15
4166949,254,DC15
4166954,289,DC15
4166955,239,DC15
4166956,210,DC15
4166958,175,DC15
4166961,261,DC15
4166962,318,DC15
4166963,164,DC15
4166967,206,DC15
4166968,155,DC15
4166969,191,DC15
4166970,158,DC15
4166971,203,DC15
4166972,243,DC15
4166973,259,DC15
4166974,153,DC15
4166975,142,DC15
4166976,259,DC15
4166978,196,DC15
4166979,220,DC15
4166980,281,DC15
4166981,199,DC15
4166984,231,DC15
4166985,212,DC15
4166987,271,DC15
4166988,273,DC15
4166989,137,DC15
4166990,203,DC15
4166991,265,DC15
4166992,200,DC15
4166993,206,DC15
4166997,279,DC15
4166998,227,DC15
4166999,212,DC15
4167000,195,DC15
4167001,199,DC15
4167026,279,DC15
4167027,276,DC15
4167028,113,DC15
4167029,131,DC15
4167030,193,DC15
4167031,291,DC15
4167033,248,DC15
4167037,228,DC15
4167038,192,DC15
4167048,131,DC15
4167050,327,DC15
4167051,203,DC15
4167052,202,DC15
4167055,194,DC15
4167056,177,DC15
4167059,255,DC15
4167061,315,DC15
4167063,322,DC15
4167064,162,DC15
4167066,214,DC15
4167068,357,DC15
4167069,189,DC15
4167071,192,DC15
4167073,225,DC15
4167077,140,DC15
4167078,260,DC15
4167081,169,DC15
4167082,323,DC15
4167083,207,DC15
4167088,205,DC15
4167090,219,DC15
4167091,219,DC15
4167092,220,DC15
4167093,218,DC15
4167099,153,DC15
4167104,202,DC15
4167105,248,DC15
4167106,167,DC15
4167107,183,DC15
4167108,161,DC15
4167110,194,DC15
4167111,212,DC15
4167112,270,DC15
4167114,198,DC15
4167115,225,DC15
4167116,222,DC15
4167119,174,DC15
4167124,131,DC15
4167125,121,DC15
4167128,202,DC15
4167132,271,DC15
4167135,154,DC15
4167136,181,DC15
4167137,195,DC15
4167138,185,DC15
4167139,238,DC15
4167140,181,DC15
4167141,159,DC15
4167142,223,DC15
4167144,118,DC15
4167145,207,DC15
4167147,132,DC15
4167150,281,DC15
4167152,127,DC15
4167153,241,DC15
4167155,157,DC15
4167158,235,DC15
4167162,185,DC15
4167165,208,DC15
4167167,176,DC15
4167169,217,DC15
4167171,235,DC15
4167172,168,DC15
4167176,151,DC15
4167178,189,DC15
4167180,173,DC15
4167182,235,DC15
4167183,204,DC15
4167184,200,DC15
4167185,212,DC15
4167186,313,DC15
4167197,246,DC15
4167203,178,DC15
4167209,271,DC15
4167212,239,DC15
4167213,243,DC15
4167216,152,DC15
4167219,286,DC15
4167220,319,DC15
4167221,181,DC15
4167222,291,DC15
4167226,170,DC15
4167227,271,DC15
4167232,160,DC15
4167234,173,DC15
4167236,229,DC15
4167239,237,DC15
4167240,214,DC15
4167241,186,DC15
4167242,206,DC15
4167243,303,DC15
4167244,282,DC15
4167247,315,DC15
4167248,143,DC15
4167250,202,DC15
4167255,279,DC15
4167256,166,DC15
4167266,176,DC15
4167269,268,DC15
4167270,249,DC15
4167271,183,DC15
4167273,280,DC15
4167274,237,DC15
4167275,197,DC15
4167279,187,DC15
4167285,208,DC15
4167286,188,DC15
4167291,199,DC15
4167293,228,DC15
4167299,207,DC15
4167300,205,DC15
4167303,132,DC15
4167304,185,DC15
4167305,269,DC15
4167306,171,DC15
4167307,140,DC15
4167308,277,DC15
4167311,116,DC15
4167313,189,DC15
4167314,232,DC15
4167317,223,DC15
4167319,167,DC15
4167324,256,DC15
4167330,114,DC15
4167331,179,DC15
4167332,169,DC15
4167336,187,DC15
4167339,240,DC15
4167340,290,DC15
4167341,343,DC15
4167342,170,DC15
4167343,170,DC15
4167344,273,DC15
4167346,204,DC15
4167347,187,DC15
4167349,177,DC15
4167350,205,DC15
4167351,286,DC15
4167352,175,DC15
4167353,188,DC15
4167360,149,DC15
4167361,279,DC15
4167362,189,DC15
4167363,350,DC15
4167364,112,DC15
4167365,139,DC15
4167366,139,DC15
4167368,136,DC15
4167369,148,DC15
4167371,173,DC15
4167372,206,DC15
4168683,193,DC15
4169666,267,DC15
4169669,151,DC15
4169670,129,DC15
4169671,203,DC15
4169672,201,DC15
4169673,209,DC15
4169674,194,DC15
4169675,167,DC15
4169676,187,DC15
4169677,153,DC15
4169678,214,DC15
4169679,155,DC15
4169680,172,DC15
4169681,171,DC15
4169683,112,DC15
4169685,271,DC15
4169686,150,DC15
4169689,124,DC15
4169690,124,DC15
4169692,247,DC15
4169693,186,DC15
4169695,200,DC15
4169696,149,DC15
4169697,192,DC15
4169698,221,DC15
4169703,164,DC15
4169704,160,DC15
4169706,176,DC15
4170162,178,DC15
4170165,116,DC15
4170166,205,DC15
4170168,257,DC15
4170169,204,DC15
4170170,147,DC15
4170172,179,DC15
4170186,175,DC15
4170189,200,DC15
4170191,147,DC15
4170196,193,DC15
4170197,164,DC15
4170198,189,DC15
4170199,230,DC15
4170200,148,DC15
4170201,142,DC15
4170202,223,DC15
4170203,174,DC15
4170205,157,DC15
4170209,166,DC15
4170211,214,DC15
4170438,103,DC15
4170454,226,DC15
4170887,199,DC15
4171006,156,DC15
4171027,155,DC15
4171498,192,DC15
4166897,167,DC16
4166898,253,DC16
4166900,150,DC16
4166904,166,DC16
4166905,191,DC16
4166906,170,DC16
4166907,369,DC16
4166911,231,DC16
4166914,223,DC16
4166915,146,DC16
4166916,147,DC16
4166923,253,DC16
4166927,252,DC16
4166930,101,DC16
4166931,271,DC16
4166936,189,DC16
4166937,225,DC16
4166938,226,DC16
4166940,110,DC16
4166942,195,DC16
4166943,311,DC16
4166950,164,DC16
4166951,164,DC16
4166952,149,DC16
4166953,182,DC16
4166957,182,DC16
4166959,391,DC16
4166960,228,DC16
4166965,162,DC16
4166966,258,DC16
4166977,367,DC16
4166982,234,DC16
4166986,197,DC16
4166995,181,DC16
4166996,209,DC16
4167002,194,DC16
4167003,235,DC16
4167004,306,DC16
4167005,184,DC16
4167006,246,DC16
4167007,171,DC16
4167008,232,DC16
4167009,267,DC16
4167010,293,DC16
4167011,255,DC16
4167012,160,DC16
4167013,181,DC16
4167014,324,DC16
4167015,206,DC16
4167016,247,DC16
4167017,238,DC16
4167018,100,DC16
4167019,91,DC16
4167020,217,DC16
4167021,279,DC16
4167022,197,DC16
4167023,269,DC16
4167024,269,DC16
4167025,241,DC16
4167032,232,DC16
4167034,285,DC16
4167039,261,DC16
4167040,238,DC16
4167041,278,DC16
4167042,207,DC16
4167043,207,DC16
4167044,228,DC16
4167045,196,DC16
4167046,88,DC16
4167049,343,DC16
4167053,140,DC16
4167054,140,DC16
4167057,216,DC16
4167058,302,DC16
4167060,198,DC16
4167062,239,DC16
4167065,316,DC16
4167067,253,DC16
4167070,189,DC16
4167072,256,DC16
4167074,123,DC16
4167075,207,DC16
4167076,139,DC16
4167080,200,DC16
4167084,171,DC16
4167085,138,DC16
4167087,424,DC16
4167089,158,DC16
4167094,150,DC16
4167095,170,DC16
4167096,206,DC16
4167097,269,DC16
4167098,261,DC16
4167100,153,DC16
4167101,152,DC16
4167102,254,DC16
4167103,155,DC16
4167109,426,DC16
4167113,175,DC16
4167120,145,DC16
4167121,283,DC16
4167122,171,DC16
4167123,170,DC16
4167126,204,DC16
4167127,202,DC16
4167129,191,DC16
4167130,204,DC16
4167131,218,DC16
4167133,162,DC16
4167134,161,DC16
4167143,196,DC16
4167148,267,DC16
4167149,289,DC16
4167151,228,DC16
4167154,158,DC16
4167156,196,DC16
4167157,195,DC16
4167159,253,DC16
4167160,312,DC16
4167161,158,DC16
4167163,235,DC16
4167164,279,DC16
4167166,287,DC16
4167168,374,DC16
4167170,242,DC16
4167173,160,DC16
4167174,158,DC16
4167175,221,DC16
4167177,274,DC16
4167179,215,DC16
4167181,155,DC16
4167187,176,DC16
4167188,235,DC16
4167189,217,DC16
4167190,276,DC16
4167191,166,DC16
4167192,287,DC16
4167193,179,DC16
4167194,163,DC16
4167195,206,DC16
4167196,361,DC16
4167198,188,DC16
4167199,211,DC16
4167200,242,DC16
4167201,305,DC16
4167202,182,DC16
4167204,175,DC16
4167205,183,DC16
4167206,283,DC16
4167207,175,DC16
4167208,330,DC16
4167210,235,DC16
4167211,191,DC16
4167214,261,DC16
4167215,335,DC16
4167217,226,DC16
4167218,210,DC16
4167223,258,DC16
4167224,147,DC16
4167228,169,DC16
4167229,161,DC16
4167230,139,DC16
4167231,210,DC16
4167233,238,DC16
4167235,259,DC16
4167237,166,DC16
4167238,251,DC16
4167245,237,DC16
4167246,239,DC16
4167249,235,DC16
4167251,166,DC16
4167252,167,DC16
4167253,174,DC16
4167254,243,DC16
4167257,140,DC16
4167258,282,DC16
4167260,271,DC16
4167261,294,DC16
4167262,181,DC16
4167263,171,DC16
4167264,170,DC16
4167265,228,DC16
4167267,235,DC16
4167268,196,DC16
4167272,170,DC16
4167276,188,DC16
4167277,171,DC16
4167278,248,DC16
4167280,187,DC16
4167281,166,DC16
4167282,127,DC16
4167283,237,DC16
4167284,302,DC16
4167287,257,DC16
4167289,147,DC16
4167290,215,DC16
4167292,203,DC16
4167294,346,DC16
4167295,208,DC16
4167297,323,DC16
4167298,347,DC16
4167301,241,DC16
4167302,249,DC16
4167309,178,DC16
4167310,213,DC16
4167312,140,DC16
4167315,144,DC16
4167316,154,DC16
4167320,124,DC16
4167321,187,DC16
4167322,148,DC16
4167323,231,DC16
4167325,200,DC16
4167328,184,DC16
4167329,103,DC16
4167333,333,DC16
4167334,412,DC16
4167335,223,DC16
4167337,187,DC16
4167338,333,DC16
4167345,278,DC16
4167348,141,DC16
4167354,223,DC16
4167355,208,DC16
4167356,203,DC16
4167357,166,DC16
4167358,242,DC16
4167359,183,DC16
4167367,163,DC16
4167370,289,DC16
4168321,158,DC2
4168401,198,DC2
4168403,138,DC2
4168404,123,DC2
4168410,138,DC2
4168412,144,DC2
4168419,214,DC2
4168421,119,DC2
4168422,120,DC2
4168424,131,DC2
4168427,163,DC2
4168434,193,DC2
4168437,118,DC2
4168439,170,DC2
4168440,132,DC2
4168441,132,DC2
4168442,189,DC2
4168443,188,DC2
4168444,201,DC2
4168446,160,DC2
4168451,217,DC2
4168454,138,DC2
4168455,243,DC2
4168457,120,DC2
4168460,211,DC2
4168461,152,DC2
4168465,158,DC2
4168471,146,DC2
4168481,149,DC2
4168720,121,DC2
4168731,134,DC2
4168732,153,DC2
4168733,153,DC2
4168734,152,DC2
4168762,103,DC2
4169092,162,DC2
4169207,132,DC2
4169208,193,DC2
4169209,177,DC2
4169210,231,DC2
4169211,233,DC2
4169212,195,DC2
4169286,108,DC2
4169288,154,DC2
4169302,170,DC2
4169304,122,DC2
4169317,144,DC2
4169320,136,DC2
4169346,162,DC2
4169362,163,DC2
4169380,166,DC2
4169409,199,DC2
4169410,98,DC2
4169421,132,DC2
4169423,110,DC2
4169425,121,DC2
4169427,249,DC2
4169510,160,DC2
4169534,219,DC2
4169543,227,DC2
4169792,234,DC2
4169834,124,DC2
4169890,130,DC2
4169891,130,DC2
4169892,131,DC2
4169893,131,DC2
4169894,203,DC2
4169895,211,DC2
4169898,102,DC2
4169902,266,DC2
4169903,179,DC2
4169904,163,DC2
4169905,115,DC2
4169906,162,DC2
4169907,114,DC2
4169908,124,DC2
4169909,157,DC2
4169913,134,DC2
4169914,152,DC2
4169915,114,DC2
4169917,129,DC2
4169919,145,DC2
4169924,148,DC2
4169927,138,DC2
4169928,144,DC2
4169929,150,DC2
4169930,139,DC2
4169931,136,DC2
4169932,160,DC2
4169937,180,DC2
4169939,205,DC2
4169940,108,DC2
4169941,166,DC2
4169942,206,DC2
